		[TRIGGERPRI,CC,AFX]	[4.553030752572538,6.754082366247146,6.81825825122529]
	cluster116	[TRIGGERPRI,WRB,VBN]	[4.885548851935811,4.8997992859276325,7.542659922044568]
		[TRIGGERPRI,WRB,#]	[4.885548851935811,4.8997992859276325,7.542659922044568]
		[TRIGGERPRI,WRB,DT]	[4.885548851935811,4.8997992859276325,7.542659922044568]
	cluster117	[TRIGGERPRI,JJ,JJ]	[4.306036727143329,4.840100547885829,6.283395087810646]
	cluster118	[TRIGGERPRI,JJ,TO]	[3.8119884897594023,4.333481595658389,5.223181658235102]
	cluster119	[TRIGGERPRI,IN,#]	[3.7875342938863064,4.89112666095745,5.171080161521525]
		[TRIGGERPRI,IN,IN]	[3.7875342938863064,4.89112666095745,5.171080161521525]
		[TRIGGERPRI,IN,CC]	[3.7875342938863064,4.89112666095745,5.171080161521525]
	cluster120	[TRIGGERPRI,VBP,CC]	[3.10597456920429,3.474807685690396,3.736718760146129]
	cluster121	[TRIGGERPRI,VBZ,FW]	[3.8492903990039284,5.207957718790114,5.302729865670001]
		[TRIGGERPRI,VBZ,PDT]	[3.8492903990039284,5.207957718790114,5.302729865670001]
		[TRIGGERPRI,VBZ,RBS]	[3.8492903990039284,5.207957718790114,5.302729865670001]
		[TRIGGERPRI,VBZ,RBR]	[3.8492903990039284,5.207957718790114,5.302729865670001]
		[TRIGGERPRI,VBZ,#]	[3.8492903990039284,5.207957718790114,5.302729865670001]
	cluster122	[TRIGGERPRI,IN,VBG]	[4.223943402616275,5.349884319675986,6.106289704278069]
	cluster123	[TRIGGERPRI,IN,PRP]	[3.712533484942652,4.81211670707502,5.011529743138185]
		[TRIGGERPRI,IN,#]	[3.712533484942652,4.81211670707502,5.011529743138185]
		[TRIGGERPRI,IN,JJS]	[3.712533484942652,4.81211670707502,5.011529743138185]
	cluster124	[TRIGGERPRI,WDT,RB]	[3.7831897423864245,4.054075771833487,5.161827817904552]
	cluster125	[TRIGGERPRI,VBG,VBN]	[3.59346486074696,3.851843559533126,4.75902074908822]
	cluster126	[TRIGGERPRI,NNS,DT]	[3.429649901671744,4.135829866195956,4.413306680131971]
		[TRIGGERPRI,NNS,PRP]	[3.429649901671744,4.135829866195956,4.413306680131971]
		[TRIGGERPRI,NNS,#]	[3.429649901671744,4.135829866195956,4.413306680131971]
	cluster127	[TRIGGERPRI,TO,RB]	[3.089930758767263,3.393434140743194,3.703431299951457]
	cluster128	[TRIGGERPRI,NN,WRB]	[5.125009591178169,7.992090485587072,8.067098307364692]
	cluster129	[TRIGGERPRI,DT,#]	[3.186643524727385,3.344972066664096,3.9044657104824942]
		[TRIGGERPRI,DT,NNS]	[3.186643524727385,3.344972066664096,3.9044657104824942]
		[TRIGGERPRI,DT,CD]	[3.186643524727385,3.344972066664096,3.9044657104824942]
		[TRIGGERPRI,DT,VBZ]	[3.186643524727385,3.344972066664096,3.9044657104824942]
	cluster130	[TRIGGERPRI,PRP,CC]	[4.641337427373518,4.7304129814496765,7.010174019166664]
	cluster131	[TRIGGERPRI,DT,IN]	[3.578357106578146,3.74038324310491,4.727053496646163]
index1	cluster1	[NN,TRIGGERPRI,IN]	[7.107999419816636,10.126942600188455,12.477437303211094]
		[#,TRIGGERPRI,#]	[7.296430535873878,10.130049865143572,12.901807414925342]
		[JJ,TRIGGERPRI,CC]	[7.484861651931118,10.133157130098688,13.32617752663959]
	cluster2	[IN,TRIGGERPRI,@]	[6.903485437249261,9.087636591353398,12.018042742073057]
	cluster3	[IN,TRIGGERPRI,CC]	[8.133949148658576,10.389184441843641,14.794098084996975]
	cluster4	[JJ,TRIGGERPRI,WDT]	[5.368803678265446,7.860784331506631,8.603176454011628]
		[JJ,TRIGGERPRI,RB]	[5.368803678265446,7.860784331506631,8.603176454011628]
		[JJ,TRIGGERPRI,#]	[5.368803678265446,7.860784331506631,8.603176454011628]
	cluster5	[IN,TRIGGERPRI,VBD]	[5.340999198966822,7.423273188772226,8.541933473165763]
	cluster6	[CC,TRIGGERPRI,RB]	[4.855640593557033,6.4568444722057485,7.47731478315783]
		[CC,TRIGGERPRI,VBN]	[4.855640593557033,6.4568444722057485,7.47731478315783]
		[CC,TRIGGERPRI,#]	[4.855640593557033,6.4568444722057485,7.47731478315783]
	cluster7	[@,TRIGGERPRI,NN]	[9.801575270361958,13.040489149846941,18.59486356158631]
	cluster8	[DT,TRIGGERPRI,NN]	[7.367845228187367,9.56533938597214,13.062347397892168]
